t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
1.800000000000000044e+00,4.930594970552446303e-04,-2.919192277487546103e-04,-2.274108271379314907e-04,1.173953991795661210e-04,-3.434296838144932241e-03,2.071759302535435780e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.850000000000000089e+00,4.829241679800550771e-04,-2.866871054754701427e-04,-1.781050575771956593e-04,9.194251928404789914e-05,-3.463241165025052800e-03,2.086701011661670595e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.900000000000000133e+00,4.749863165769125208e-04,-2.825893767305457673e-04,-1.394894487941359068e-04,7.200816097361585828e-05,-3.485909973482607168e-03,2.098403161082304166e-03,2.500000000000000139e-02,-1.499999999999999944e-02
1.950000000000000178e+00,4.687694998032429115e-04,-2.793800899634218287e-04,-1.092462296898128550e-04,5.639583581757689752e-05,-3.503663878726909556e-03,2.107568129864787962e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.000000000000000000e+00,4.639005739062186640e-04,-2.768666191725528713e-04,-8.556015283519525171e-05,4.416846983216996957e-05,-3.517568497149932763e-03,2.114746012159489374e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.050000000000000266e+00,4.600872977562678583e-04,-2.748981022236238084e-04,-6.700954078081840866e-05,3.459215903551951868e-05,-3.528458405662210796e-03,2.120367634519138358e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.100000000000000089e+00,4.571007920714632660e-04,-2.733563858918072677e-04,-5.248095489768198909e-05,2.709211952546017497e-05,-3.536987233933515905e-03,2.124770414652113644e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.149999999999999911e+00,4.547618017140871312e-04,-2.721489341378035111e-04,-4.110236510530362961e-05,2.121818815305698340e-05,-3.543666896055405226e-03,2.128218613671874031e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.200000000000000178e+00,4.529299365043628007e-04,-2.712032739630112653e-04,-3.219080926976863139e-05,1.661780310051915176e-05,-3.548898316308942563e-03,2.130919197400600422e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.250000000000000000e+00,4.514952447699968597e-04,-2.704626454765677711e-04,-2.521140073102929203e-05,1.301484262384420346e-05,-3.552995493207334547e-03,2.133034258738365600e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.300000000000000266e+00,4.503716138636759030e-04,-2.698825950853262737e-04,-1.974522354109647623e-05,1.019305183413346386e-05,-3.556204346150720376e-03,2.134690746701898081e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.350000000000000089e+00,4.494916015375960438e-04,-2.694283073253123302e-04,-1.546418844280791728e-05,7.983062771008451282e-06,-3.558717475884485767e-03,2.135988086081162286e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.400000000000000355e+00,4.488023879460857277e-04,-2.690725151874488285e-04,-1.211134040976697894e-05,6.252228695397207260e-06,-3.560685724698065945e-03,2.137004145054780327e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.450000000000000178e+00,4.482626053090846469e-04,-2.687938635123541501e-04,-9.485435777054291776e-06,4.896662441985608889e-06,-3.562227230220542558e-03,2.137799908948157315e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.500000000000000000e+00,4.478398549477561512e-04,-2.685756272228474544e-04,-7.428863258652921428e-06,3.835000962193051956e-06,-3.563434516233120793e-03,2.138423140659409007e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.550000000000000266e+00,8.831915426085606979e-04,-2.684047074606497147e-04,1.738526112116084779e-02,3.003521796815774038e-06,-4.583412474939310005e-02,2.138911245566166644e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.600000000000000089e+00,1.814196901219814178e-03,-2.682708453904590032e-04,1.984981866072062229e-02,2.352317703893227016e-06,-5.877316767216380494e-02,2.139293526335038498e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.650000000000000355e+00,2.754956877385775823e-03,-2.681660064145305485e-04,1.778488239319329228e-02,1.842303876060836875e-06,-6.168809232887510069e-02,2.139592923602513536e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.700000000000000178e+00,3.567733198453328872e-03,-2.680838979118920439e-04,1.473252960166420919e-02,1.442868397696861640e-06,-6.137785157943416448e-02,2.139827404138087974e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.750000000000000000e+00,4.231542746301606914e-03,-2.680195916152278189e-04,1.182590785407792999e-02,1.130035213265505785e-06,-6.020171560499932434e-02,2.140011049123447320e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.800000000000000266e+00,4.761165704530110829e-03,-2.679692277751130158e-04,9.364139227319269801e-03,8.850288280245103425e-07,-5.894506779285386272e-02,2.140154875791134940e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.850000000000000089e+00,5.179408062911874423e-03,-2.679297834757786954e-04,7.369710223158071685e-03,6.931429129427714931e-07,-5.784034405465896672e-02,2.140267519232530186e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.900000000000000355e+00,5.508169222369796447e-03,-2.678988912214495875e-04,5.784039679013106526e-03,5.428603530152992036e-07,-5.693195660247134943e-02,2.140355740189315691e-03,3.750000000000000000e-01,-1.499999999999999944e-02
2.950000000000000178e+00,5.766050727434198810e-03,-2.678746968171989706e-04,4.533825171460340725e-03,4.251610271713362330e-07,-5.620512104035945561e-02,2.140424833709908981e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.000000000000000000e+00,5.968140292566117416e-03,-2.678557480808705271e-04,3.551803339606173556e-03,3.329804713225744149e-07,-5.563043195797248014e-02,2.140478946851287392e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.050000000000000266e+00,6.126439290870575906e-03,-2.678409076822202222e-04,2.781760868870472841e-03,2.607858820673268759e-07,-5.517845642240656878e-02,2.140521327549636116e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.100000000000000089e+00,6.250412132923334127e-03,-2.678292848791431974e-04,2.178409811182437702e-03,2.042440380753866383e-07,-5.482384771318596361e-02,2.140554519551252956e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.150000000000000355e+00,6.347493599968314672e-03,-2.678201820541979911e-04,1.705833417750140385e-03,1.599612168270080840e-07,-5.454593472694680562e-02,2.140580515086518143e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.200000000000000178e+00,6.423513799483694144e-03,-2.678130528426524463e-04,1.335745589339518320e-03,1.252794995251999235e-07,-5.432823715163841161e-02,2.140600874444544867e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.250000000000000000e+00,6.483040844124290242e-03,-2.678074693389005407e-04,1.045939965959851456e-03,9.811723933817276688e-08,-5.415774586616409897e-02,2.140616819623301220e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.300000000000000266e+00,6.529652726705321292e-03,-2.678030964129548739e-04,8.190081181974179746e-04,7.684411807493152657e-08,-5.402423750562645316e-02,2.140629307675456956e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.350000000000000089e+00,6.566151468299401099e-03,-2.677996715954614692e-04,6.413117512111475267e-04,6.018329217357617937e-08,-5.391969407886715304e-02,2.140639088151972437e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.400000000000000355e+00,6.594731248142459215e-03,-2.677969893239095741e-04,5.021693263847600485e-04,4.713475471419952576e-08,-5.383783292978660401e-02,2.140646748091224339e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.450000000000000178e+00,6.617110209723202179e-03,-2.677948886044721408e-04,3.932161256724178906e-04,3.691531356536971049e-08,-5.377373315341622828e-02,2.140652747253858450e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.500000000000000000e+00,6.634633721899417871e-03,-2.677932433489231545e-04,3.079021012704020923e-04,2.891158305286036874e-08,-5.372354112462549014e-02,2.140657445718317092e-03,3.750000000000000000e-01,-1.499999999999999944e-02
3.550000000000000266e+00,6.648355252848813825e-03,-2.677919548066393768e-04,2.410983130990553914e-04,2.264316766867705432e-08,-5.368423924608355796e-02,2.140661125493250640e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.600000000000000089e+00,6.223416922164032479e-03,-2.677909456374449318e-04,-1.720229066765872200e-02,1.773382803495805884e-08,-1.138372005630376022e-02,2.140664007432918885e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.650000000000000355e+00,5.300483084755755296e-03,-2.677901552696390608e-04,-1.970983870139333266e-02,1.388889458298093325e-08,1.586503991698250821e-03,2.140666264559113602e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.700000000000000178e+00,4.366083439156827860e-03,-2.677895362641104769e-04,-1.767039601750639011e-02,1.087760017303128637e-08,4.507618878284348589e-03,2.140668032287680426e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.750000000000000000e+00,3.558500683933759050e-03,-2.677890514671212485e-04,-1.463922920553240720e-02,8.519192808955029485e-09,4.203111519471027652e-03,2.140669416746719157e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.800000000000000266e+00,2.898876909605914778e-03,-2.677886717805777039e-04,-1.175173745470698902e-02,6.672117058228892205e-09,3.036194932138550247e-03,2.140670501047580929e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.850000000000000089e+00,2.372550712032557661e-03,-2.677883744151643777e-04,-9.306404958095086666e-03,5.225513271441109068e-09,1.789843735169911222e-03,2.140671350254829720e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.900000000000000355e+00,1.956858822315870033e-03,-2.677881415225212189e-04,-7.325397783266103004e-03,4.092552820854816765e-09,6.946575377252621041e-04,2.140672015344292824e-03,2.500000000000000139e-02,-1.499999999999999944e-02
3.950000000000000178e+00,1.630047992649238334e-03,-2.677879591240601921e-04,-5.750316865241501818e-03,3.205234226010681746e-09,-2.057029373644245142e-04,2.140672536228474532e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.000000000000000000e+00,1.373647604437728143e-03,-2.677878162719671902e-04,-4.508286261092691108e-03,2.510297298736333832e-09,-9.261260826271667081e-04,2.140672944179481708e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.049999999999999822e+00,1.172678300380363293e-03,-2.677877043920910585e-04,-3.532518776928884191e-03,1.966031647395239468e-09,-1.495821531706798642e-03,2.140673263681798239e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.100000000000000533e+00,1.015224518085025302e-03,-2.677876167692533620e-04,-2.767226893994534885e-03,1.539769917951435932e-09,-1.943958541827619851e-03,2.140673513911958183e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.150000000000000355e+00,8.918882792258403351e-04,-2.677875481442092923e-04,-2.167472165863405624e-03,1.205927359969788073e-09,-2.295635403740864389e-03,2.140673709888958002e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.200000000000000178e+00,7.952856208322249976e-04,-2.677874943979859459e-04,-1.697613055932625445e-03,9.444662915777460641e-10,-2.571315659600678129e-03,2.140673863375562071e-03,2.500000000000000139e-02,-1.499999999999999944e-02
4.250000000000000000e+00,7.196250699627065222e-04,-2.677874523046577739e-04,-1.329575733379067051e-03,7.396934518195235718e-10,-2.787315046140749920e-03,2.140673983584241886e-03,2.500000000000000139e-02,-1.499999999999999944e-02
