t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
2.050000000000000266e+00,4.600873229264660323e-04,-2.748981200914145514e-04,-6.700962445627809045e-05,3.459222594254175216e-05,-3.528458378062193038e-03,2.120367606352064217e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.100000000000000089e+00,4.571008133246693837e-04,-2.733564006807565755e-04,-5.248102792409055839e-05,2.709217579425858609e-05,-3.536987207918923081e-03,2.124770390321328428e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.149999999999999911e+00,4.547618195656108302e-04,-2.721489463430497649e-04,-4.110242816695025960e-05,2.121823525148450757e-05,-3.543666872236176518e-03,2.128218592837935724e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.200000000000000178e+00,4.529299514301921448e-04,-2.712032840097178417e-04,-3.219086325480707616e-05,1.661784236000918934e-05,-3.548898294956013590e-03,2.130919179690923381e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.250000000000000000e+00,4.514952571996253125e-04,-2.704626537269905770e-04,-2.521144661091357503e-05,1.301487522956561846e-05,-3.552995474370939429e-03,2.133034243777546558e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.300000000000000266e+00,4.503716241778883320e-04,-2.698826018461061437e-04,-1.974526229270281763e-05,1.019307882582630735e-05,-3.556204329743387852e-03,2.134690734130458966e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.350000000000000089e+00,4.494916100694005385e-04,-2.694283128545621312e-04,-1.546422100042255514e-05,7.983085050335336574e-06,-3.558717461738373534e-03,2.135988075566282521e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.400000000000000355e+00,4.488023949835308443e-04,-2.690725197013820011e-04,-1.211136763763183747e-05,6.252247036940110844e-06,-3.560685712603927754e-03,2.137004136295636309e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.450000000000000178e+00,4.482626110991008998e-04,-2.687938671913199734e-04,-9.485458455821189791e-06,4.896677505965005247e-06,-3.562227219953564318e-03,2.137799901677703111e-03,2.500000000000000139e-02,-1.499999999999999944e-02
2.500000000000000000e+00,4.478398597004453873e-04,-2.685756302167189896e-04,-7.428882081001741333e-06,3.835013307649139594e-06,-3.563434507569524911e-03,2.138423134643855934e-03,3.750000000000000000e-01,-1.499999999999999944e-02
